fid,mslink,miejscowosc,kod,poczta,przedr,przedrostek,ulica,ulica_pelna,nr_adr,nr_adr2,dzialka_id,budynek_id,kat,just,teryt_numer,field_2
3157,119277,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,16,,,,266,uc,06602--16,11
3158,119278,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,17,,,,262,uc,06602--17,24
3159,119279,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,18,,,,262,uc,06602--18,19
3160,119281,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,20,,,,261,uc,06602--20,14
3161,119284,Słupsk,76-200,Słupsk,ul.,ulica,Psie Pole,Psie Pole,10,,,,349,uc,18024--10,31
3162,119287,Słupsk,76-200,Słupsk,ul.,ulica,Pobożnego,Henryka Pobożnego,21,,,,288,uc,06602--21,6
3163,119289,Słupsk,76-200,Słupsk,ul.,ulica,Garncarska,Garncarska,5,,,,176,uc,05345--5,74
3164,119291,Słupsk,76-200,Słupsk,ul.,ulica,Garncarska,Garncarska,7,,,,176,uc,05345--7,67
3166,119293,Słupsk,76-200,Słupsk,ul.,ulica,Dąbrówki,Dąbrówki,16,,,,0,uc,03701--16,24
3167,119294,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,18,,,,208,uc,00432--18,13
3169,119297,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,19,,,,218,uc,00432--19,34
3174,119307,Słupsk,76-200,Słupsk,ul.,ulica,Armii Krajowej,Armii Krajowej,20,,,,212,uc,00432--20,7
3177,119310,Słupsk,76-200,Słupsk,ul.,ulica,Curie-Skłodowskiej,Marii Curie-Skłodowskiej,6,,,,102,uc,03148--6,28
